% CFC12 concentrations in atmosphere (vol/vol). Data source:
% John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.93550000e+03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.93600000e+03 5.00000000e-14 0.00000000e+00 2.50000000e-14
 1.93650000e+03 1.00000000e-13 0.00000000e+00 5.00000000e-14
 1.93700000e+03 1.00000000e-13 5.00000000e-14 7.50000000e-14
 1.93750000e+03 1.00000000e-13 1.00000000e-13 1.00000000e-13
 1.93800000e+03 1.50000000e-13 1.00000000e-13 1.25000000e-13
 1.93850000e+03 2.00000000e-13 1.00000000e-13 1.50000000e-13
 1.93900000e+03 2.50000000e-13 1.50000000e-13 2.00000000e-13
 1.93950000e+03 3.00000000e-13 2.00000000e-13 2.50000000e-13
 1.94000000e+03 3.50000000e-13 2.50000000e-13 3.00000000e-13
 1.94050000e+03 4.00000000e-13 3.00000000e-13 3.50000000e-13
 1.94100000e+03 4.50000000e-13 3.50000000e-13 4.00000000e-13
 1.94150000e+03 5.00000000e-13 4.00000000e-13 4.50000000e-13
 1.94200000e+03 6.00000000e-13 4.50000000e-13 5.25000000e-13
 1.94250000e+03 7.00000000e-13 5.00000000e-13 6.00000000e-13
 1.94300000e+03 8.00000000e-13 6.00000000e-13 7.00000000e-13
 1.94350000e+03 9.00000000e-13 7.00000000e-13 8.00000000e-13
 1.94400000e+03 1.05000000e-12 8.00000000e-13 9.25000000e-13
 1.94450000e+03 1.20000000e-12 9.00000000e-13 1.05000000e-12
 1.94500000e+03 1.45000000e-12 1.05000000e-12 1.25000000e-12
 1.94550000e+03 1.70000000e-12 1.20000000e-12 1.45000000e-12
 1.94600000e+03 2.00000000e-12 1.45000000e-12 1.72500000e-12
 1.94650000e+03 2.30000000e-12 1.70000000e-12 2.00000000e-12
 1.94700000e+03 2.85000000e-12 2.05000000e-12 2.45000000e-12
 1.94750000e+03 3.40000000e-12 2.40000000e-12 2.90000000e-12
 1.94800000e+03 4.10000000e-12 2.90000000e-12 3.50000000e-12
 1.94850000e+03 4.80000000e-12 3.40000000e-12 4.10000000e-12
 1.94900000e+03 5.45000000e-12 4.05000000e-12 4.75000000e-12
 1.94950000e+03 6.10000000e-12 4.70000000e-12 5.40000000e-12
 1.95000000e+03 6.85000000e-12 5.35000000e-12 6.10000000e-12
 1.95050000e+03 7.60000000e-12 6.00000000e-12 6.80000000e-12
 1.95100000e+03 8.40000000e-12 6.70000000e-12 7.55000000e-12
 1.95150000e+03 9.20000000e-12 7.40000000e-12 8.30000000e-12
 1.95200000e+03 1.01000000e-11 8.20000000e-12 9.15000000e-12
 1.95250000e+03 1.10000000e-11 9.00000000e-12 1.00000000e-11
 1.95300000e+03 1.19000000e-11 9.85000000e-12 1.08750000e-11
 1.95350000e+03 1.28000000e-11 1.07000000e-11 1.17500000e-11
 1.95400000e+03 1.39000000e-11 1.16500000e-11 1.27750000e-11
 1.95450000e+03 1.50000000e-11 1.26000000e-11 1.38000000e-11
 1.95500000e+03 1.62000000e-11 1.36500000e-11 1.49250000e-11
 1.95550000e+03 1.74000000e-11 1.47000000e-11 1.60500000e-11
 1.95600000e+03 1.88000000e-11 1.59000000e-11 1.73500000e-11
 1.95650000e+03 2.02000000e-11 1.71000000e-11 1.86500000e-11
 1.95700000e+03 2.18000000e-11 1.85000000e-11 2.01500000e-11
 1.95750000e+03 2.34000000e-11 1.99000000e-11 2.16500000e-11
 1.95800000e+03 2.51000000e-11 2.14500000e-11 2.32750000e-11
 1.95850000e+03 2.68000000e-11 2.30000000e-11 2.49000000e-11
 1.95900000e+03 2.86500000e-11 2.46500000e-11 2.66500000e-11
 1.95950000e+03 3.05000000e-11 2.63000000e-11 2.84000000e-11
 1.96000000e+03 3.27500000e-11 2.82000000e-11 3.04750000e-11
 1.96050000e+03 3.50000000e-11 3.01000000e-11 3.25500000e-11
 1.96100000e+03 3.75000000e-11 3.22500000e-11 3.48750000e-11
 1.96150000e+03 4.00000000e-11 3.44000000e-11 3.72000000e-11
 1.96200000e+03 4.29000000e-11 3.69000000e-11 3.99000000e-11
 1.96250000e+03 4.58000000e-11 3.94000000e-11 4.26000000e-11
 1.96300000e+03 4.91500000e-11 4.22500000e-11 4.57000000e-11
 1.96350000e+03 5.25000000e-11 4.51000000e-11 4.88000000e-11
 1.96400000e+03 5.64500000e-11 4.84500000e-11 5.24500000e-11
 1.96450000e+03 6.04000000e-11 5.18000000e-11 5.61000000e-11
 1.96500000e+03 6.48500000e-11 5.56500000e-11 6.02500000e-11
 1.96550000e+03 6.93000000e-11 5.95000000e-11 6.44000000e-11
 1.96600000e+03 7.42500000e-11 6.38500000e-11 6.90500000e-11
 1.96650000e+03 7.92000000e-11 6.82000000e-11 7.37000000e-11
 1.96700000e+03 8.47500000e-11 7.30500000e-11 7.89000000e-11
 1.96750000e+03 9.03000000e-11 7.79000000e-11 8.41000000e-11
 1.96800000e+03 9.65500000e-11 8.33500000e-11 8.99500000e-11
 1.96850000e+03 1.02800000e-10 8.88000000e-11 9.58000000e-11
 1.96900000e+03 1.09800000e-10 9.49500000e-11 1.02375000e-10
 1.96950000e+03 1.16800000e-10 1.01100000e-10 1.08950000e-10
 1.97000000e+03 1.24400000e-10 1.07900000e-10 1.16150000e-10
 1.97050000e+03 1.32000000e-10 1.14700000e-10 1.23350000e-10
 1.97100000e+03 1.40200000e-10 1.22150000e-10 1.31175000e-10
 1.97150000e+03 1.48400000e-10 1.29600000e-10 1.39000000e-10
 1.97200000e+03 1.57250000e-10 1.37650000e-10 1.47450000e-10
 1.97250000e+03 1.66100000e-10 1.45700000e-10 1.55900000e-10
 1.97300000e+03 1.75950000e-10 1.54500000e-10 1.65225000e-10
 1.97350000e+03 1.85800000e-10 1.63300000e-10 1.74550000e-10
 1.97400000e+03 1.96450000e-10 1.72900000e-10 1.84675000e-10
