% SF6 concentrations in atmosphere (vol/vol). Combination of data from different sources:
% - NOAA, HATS_global_SF6.txt
% - NOAA, file URL: ftp://ftp.cmdl.noaa.gov/hats/sf6/flasks/SF6global_2007.txt, downloaded on 17. June 2009, Matthias Brennwald
% - Maiss and Brenninkmejer, ES&T 1998
% - John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.95350000e+03 4.22676759e-14 3.89273734e-14 4.00400000e-14
 1.95400000e+03 4.24576904e-14 3.91023715e-14 4.02200000e-14
 1.95450000e+03 4.26477050e-14 3.92773697e-14 4.04000000e-14
 1.95500000e+03 4.30066213e-14 3.96079218e-14 4.07400000e-14
 1.95550000e+03 4.33655376e-14 3.99384740e-14 4.10800000e-14
 1.95600000e+03 4.39144685e-14 4.04440243e-14 4.16000000e-14
 1.95650000e+03 4.44633993e-14 4.09495746e-14 4.21200000e-14
 1.95700000e+03 4.51812320e-14 4.16106788e-14 4.28000000e-14
 1.95750000e+03 4.58990646e-14 4.22717831e-14 4.34800000e-14
 1.95800000e+03 4.68491373e-14 4.31467740e-14 4.43800000e-14
 1.95850000e+03 4.77992099e-14 4.40217649e-14 4.52800000e-14
 1.95900000e+03 4.93193261e-14 4.54217503e-14 4.67200000e-14
 1.95950000e+03 5.08394424e-14 4.68217358e-14 4.81600000e-14
 1.96000000e+03 5.30985040e-14 4.89022697e-14 5.03000000e-14
 1.96050000e+03 5.53575656e-14 5.09828037e-14 5.24400000e-14
 1.96100000e+03 5.81444453e-14 5.35494437e-14 5.50800000e-14
 1.96150000e+03 6.09313250e-14 5.61160837e-14 5.77200000e-14
 1.96200000e+03 6.44571501e-14 5.93632722e-14 6.10600000e-14
 1.96250000e+03 6.79829752e-14 6.26104606e-14 6.44000000e-14
 1.96300000e+03 7.29444657e-14 6.71798576e-14 6.91000000e-14
 1.96350000e+03 7.79059561e-14 7.17492546e-14 7.38000000e-14
 1.96400000e+03 8.47675918e-14 7.80686334e-14 8.03000000e-14
 1.96450000e+03 9.16292275e-14 8.43880122e-14 8.68000000e-14
 1.96500000e+03 1.00559910e-13 9.26129267e-14 9.52600000e-14
 1.96550000e+03 1.09490593e-13 1.00837841e-13 1.03720000e-13
 1.96600000e+03 1.20384759e-13 1.10871070e-13 1.14040000e-13
 1.96650000e+03 1.31278925e-13 1.20904299e-13 1.24360000e-13
 1.96700000e+03 1.43503193e-13 1.32162516e-13 1.35940000e-13
 1.96750000e+03 1.55727461e-13 1.43420732e-13 1.47520000e-13
 1.96800000e+03 1.68500660e-13 1.55184499e-13 1.59620000e-13
 1.96850000e+03 1.81273859e-13 1.66948266e-13 1.71720000e-13
 1.96900000e+03 1.94321523e-13 1.78964807e-13 1.84080000e-13
 1.96950000e+03 2.07369187e-13 1.90981349e-13 1.96440000e-13
 1.97000000e+03 2.21240248e-13 2.03756216e-13 2.09580000e-13
 1.97050000e+03 2.35111308e-13 2.16531084e-13 2.22720000e-13
 1.97100000e+03 2.50650274e-13 2.30842046e-13 2.37440000e-13
 1.97150000e+03 2.66189240e-13 2.45153009e-13 2.52160000e-13
 1.97200000e+03 2.83269434e-13 2.60883401e-13 2.68340000e-13
 1.97250000e+03 3.00349629e-13 2.76613793e-13 2.84520000e-13
 1.97300000e+03 3.18886602e-13 2.93685838e-13 3.02080000e-13
 1.97350000e+03 3.37423575e-13 3.10757883e-13 3.19640000e-13
 1.97400000e+03 3.60816474e-13 3.32302103e-13 3.41800000e-13
 1.97450000e+03 3.84209374e-13 3.53846324e-13 3.63960000e-13
 1.97500000e+03 4.12500426e-13 3.79901609e-13 3.90760000e-13
 1.97550000e+03 4.40791477e-13 4.05956894e-13 4.17560000e-13
 1.97600000e+03 4.73938456e-13 4.36484354e-13 4.48960000e-13
 1.97650000e+03 5.07085435e-13 4.67011815e-13 4.80360000e-13
 1.97700000e+03 5.45109453e-13 5.02030895e-13 5.16380000e-13
 1.97750000e+03 5.83133471e-13 5.37049976e-13 5.52400000e-13
 1.97800000e+03 6.26055641e-13 5.76580121e-13 5.93060000e-13
 1.97850000e+03 6.68977812e-13 6.16110266e-13 6.33720000e-13
 1.97900000e+03 7.16755909e-13 6.60112586e-13 6.78980000e-13
 1.97950000e+03 7.64534006e-13 7.04114907e-13 7.24240000e-13
 1.98000000e+03 8.17210255e-13 7.52628292e-13 7.74140000e-13
 1.98050000e+03 8.69886505e-13 8.01141677e-13 8.24040000e-13
 1.98100000e+03 9.27439794e-13 8.54146682e-13 8.78560000e-13
 1.98150000e+03 9.84993083e-13 9.07151687e-13 9.33080000e-13
 1.98200000e+03 1.04739174e-12 9.64619145e-13 9.92190000e-13
 1.98250000e+03 1.10979040e-12 1.02208660e-12 1.05130000e-12
 1.98300000e+03 1.17708721e-12 1.08406513e-12 1.11505000e-12
 1.98350000e+03 1.24438403e-12 1.14604365e-12 1.17880000e-12
 1.98400000e+03 1.31658955e-12 1.21254296e-12 1.24720000e-12
 1.98450000e+03 1.38879507e-12 1.27904227e-12 1.31560000e-12
 1.98500000e+03 1.46585651e-12 1.35001375e-12 1.38860000e-12
 1.98550000e+03 1.54291796e-12 1.42098524e-12 1.46160000e-12
