Sample	He	Err. He	Ne	Err. Ne	Ar	Err. Ar	Kr	Err. Kr	Xe	Err. Xe
MD9.1	5.9880E-8	8.3832E-10	2.4930E-7	1.9944E-9	4.0200E-4	2.8140E-6	8.9850E-8	8.0865E-10	1.2210E-8	9.7680E-11
MD8.2	5.5290E-8	7.7406E-10	2.3030E-7	1.8424E-9	3.8940E-4	2.7258E-6	8.7570E-8	7.8813E-10	1.1980E-8	9.5840E-11
MD5.2	5.4130E-8	7.5782E-10	2.2950E-7	1.8360E-9	3.8830E-4	2.7181E-6	8.6380E-8	7.7742E-10	1.1790E-8	9.4320E-11
MD6.2	5.1070E-8	7.1498E-10	2.1450E-7	1.7160E-9	3.8350E-4	2.6845E-6	8.7560E-8	7.8804E-10	1.2150E-8	9.7200E-11
MD7.1	8.0700E-8	1.1298E-9	2.7140E-7	2.1712E-9	4.5330E-4	3.1731E-6	1.0140E-7	9.1260E-10	1.6340E-8	1.3072E-10
MD7.2	8.1400E-8	1.1396E-9	2.7160E-7	2.1728E-9	4.5480E-4	3.1836E-6	1.0280E-7	9.2520E-10	1.6390E-8	1.3112E-10
MD20.2	7.2200E-8	1.0108E-9	2.3240E-7	1.8592E-9	4.1530E-4	2.9071E-6	9.3020E-8	8.3718E-10	1.3340E-8	1.0672E-10
MD23.1	9.2130E-8	1.2898E-9	2.5540E-7	2.0432E-9	4.5370E-4	3.1759E-6	1.0380E-7	9.3420E-10	1.6170E-8	1.2936E-10
MD21.1	7.0590E-8	9.8826E-10	2.3060E-7	1.8448E-9	3.9760E-4	2.7832E-6	8.8910E-8	8.0019E-10	1.2590E-8	1.0072E-10
MD21.2	7.0950E-8	9.9330E-10	2.3080E-7	1.8464E-9	3.9680E-4	2.7776E-6	8.8630E-8	7.9767E-10	1.2580E-8	1.0064E-10
