COMMENT: Fit results from noblefit, fitted T-A-F fit with CE model to a subset of the noble gas data published in W. Aeschbach-Hertig, M. Stute, J. Clark, R. Reuter, and P. Schlosser. A paleotemperature record derived from dissolved noble gases in groundwater of the Aquia Aquifer (Maryland, USA). Geochim. Cosmochim. Acta, 66(5):797–817, 2002.

SAMPLE	T (°C)	Err. T (°C)	A (ccSTP/g)	Err. A (ccSTP/g)	F (-)	Err. F (-)	Chi2	DF	p
MD9.1	11.9731	0.427199	0.0223473	0.00572483	0.634606	0.03061	1.6597	1	0.197643
MD8.2	12.5238	0.531762	0.0330726	0.0120111	0.747969	0.0224496	0.781803	1	0.37659
MD5.2	13.3699	0.655184	0.0430257	0.0170044	0.757642	0.0184738	0.107922	1	0.742523
MD6.2	12.2542	1.14897	0.0758071	0.0753451	0.851575	0.0140007	0.243811	1	0.621467
MD7.1	4.16215	0.272594	0.00372777	0.00278673	4.54402e-09	0.559627	55.409	1	9.76996e-14
MD7.2	3.95362	0.270517	0.00371563	0.00280096	1.83663e-08	0.56512	41.3658	1	1.26246e-10
MD20.2	9.31926	0.468429	0.0319904	0.0123051	0.765472	0.023375	2.21724	1	0.136477
MD23.1	3.73774	0.264662	0.00286389	0.0033959	4.40883e-08	0.942972	16.3756	1	5.19487e-05
MD21.1	10.7789	0.421461	0.0224669	0.00846931	0.735024	0.0327043	0.811643	1	0.367635
MD21.2	10.7665	0.408323	0.0205475	0.00780854	0.726226	0.0360569	1.09812	1	0.294679
