COMMENT: Fit results from noblefit, fitted T-A-F-H-TR fit with ASW + CE + HeEx model to a subset of the noble gas data published in W. Aeschbach-Hertig, M. Stute, J. Clark, R. Reuter, and P. Schlosser. A paleotemperature record derived from dissolved noble gases in groundwater of the Aquia Aquifer (Maryland, USA). Geochim. Cosmochim. Acta, 66(5):797–817, 2002.

SAMPLE	T (°C)	Err. T (°C)	A (ccSTP/g)	Err. A (ccSTP/g)	F (-)	Err. F (-)	H (ccSTP/g)	Err. H (ccSTP/g)	TR (ccSTP/g)	Err. TR (ccSTP/g)	Chi2	DF	p
MD9.1	11.9731	0.427198	0.0223471	0.0057248	0.634605	0.0306102	6.44652e-10	1.03077e-09	7.4355e-14	8.11884e-15	1.6597	1	0.197643
MD8.2	12.5237	0.531726	0.0330688	0.0120094	0.747963	0.0224517	9.93519e-10	9.26024e-10	8.25179e-14	8.07014e-15	0.781804	1	0.37659
MD5.2	12.6013	0.468008	0.0256193	0.00911954	0.731955	0.0282347	-1.49257e-10	9.24008e-10	-1.07579e-15	4.50921e-15	18.6704	1	1.55378e-05
MD6.2	11.8095	0.706954	0.0496552	0.0342095	0.845835	0.0179359	6.97607e-10	8.38739e-10	1.66667e-13	1.21517e-14	0.751505	1	0.386
MD7.1	4.14581	0.272343	0.00369687	0.00280404	6.49014e-10	0.569027	1.65971e-08	1.71806e-09	1.00595e-15	4.62884e-15	55.6084	1	8.82627e-14
MD7.2	4.06315	0.275898	0.00501778	0.0029182	0.18825	0.325424	1.65478e-08	1.62571e-09	-1.6149e-15	4.53496e-15	45.9418	1	1.21806e-11
MD20.2	9.31928	0.468423	0.0319896	0.0123045	0.765467	0.0233754	1.82138e-08	1.13482e-09	4.84531e-15	3.83356e-15	2.21724	1	0.136477
MD23.1	3.78564	0.267478	0.00355206	0.00351084	0.158088	0.630768	3.21043e-08	1.74538e-09	9.57064e-16	4.20965e-15	16.751	1	4.26207e-05
MD21.1	10.7789	0.421466	0.0224678	0.00846956	0.735026	0.032703	1.64578e-08	1.12844e-09	3.60177e-15	3.76214e-15	0.811643	1	0.367635
MD21.2	10.7674	0.40841	0.0205582	0.00781179	0.726268	0.0360357	1.67151e-08	1.13777e-09	3.83937e-15	3.78357e-15	1.09813	1	0.294677
