LabCode HeNe	R3H (TU)	E3H (TU)	3He (cc/g)	Err. 3He (cc/g)	He (cc/g)	Err. He (cc/g)	3He/4He	Err. 3He/4He	Ne (cc/g)	Err. Ne (cc/g)	22Ne/20Ne	Err. 22Ne/20Ne	Ar (cc/g)	Err. Ar (cc/g)	40Ar/36Ar	Err. 40Ar/36Ar	Kr (cc/g)	Err. Kr (cc/g)	Xe (cc/g)	Err. Xe (cc/g)
WA,182,251	18.14391729	0.430470322	1.73708E-13	6.82E-16	8.28511E-08	2.38995E-10	2.09663E-06	5.57553E-09	2.94137E-07	1.93611E-09	0.10241	0.00014868	0.000474906	2.376E-06	296.6131298	0.4846523	1.09649E-07	1.54072E-09	1.66717E-08	2.08017E-10
WA,182,285	52.24799484	0.865556385	7.50177E-14	3.22E-16	5.33258E-08	1.55972E-10	1.40678E-06	4.40773E-09	2.31176E-07	1.52061E-09	0.10198	0.00014849	0.000428933	2.04809E-06	295.8396239	0.40437406	1.04141E-07	1.44075E-09	1.54246E-08	1.89636E-10
WA,194,247	17.42191809	0.643405215	2.31996E-13	1.06764E-15	1.09E-07	4.67431E-10	2.12839E-06	3.55396E-09	3.5741E-07	3.53117E-09	0.10203	0.00013937	0	0	INF	0	0	0	0	0
WA,194,72	24.94695266	0.739583094	7.9564E-14	4.30E-16	5.87126E-08	2.53901E-10	1.35514E-06	4.39766E-09	2.04644E-07	2.02194E-09	0.1023	0.00019487	0	0	INF	0	0	0	0	0
WA,194,35	51.98294089	1.136583148	8.83988E-14	4.68E-16	5.79124E-08	2.48317E-10	1.52642E-06	4.7338E-09	1.97064E-07	1.94687E-09	0.10217	0.00013472	0	0	INF	0	0	0	0	0
WA,194,473	19.13200064	0.804780234	9.49827E-14	9.70E-16	7.4722E-08	7.31292E-10	1.27115E-06	3.71414E-09	2.3656E-07	3.12971E-09	0.10217	0.00014728	0	0	INF	0	0	0	0	0
WA,194,97	14.50086085	0.64834146	9.96307E-14	5.21E-16	7.26397E-08	3.11273E-10	1.37157E-06	4.11422E-09	2.54767E-07	2.51748E-09	0.10219	0.00012591	0	0	INF	0	0	0	0	0
WA,194,244	13.7412606	0.573831536	7.32411E-14	3.89E-16	5.29576E-08	2.27748E-10	1.38302E-06	4.3139E-09	2.2653E-07	2.23893E-09	0.10211	0.00013267	0	0	INF	0	0	0	0	0
WA,194,291	13.77124319	0.603278464	7.66778E-14	4.08E-16	5.5767E-08	2.39466E-10	1.37497E-06	4.32962E-09	2.38008E-07	2.35126E-09	0.10208	0.00012692	0	0	INF	0	0	0	0	0
WA,194,162	8.429260304	0.441540102	8.41465E-14	4.30E-16	5.9511E-08	2.56092E-10	1.41397E-06	3.90779E-09	2.40062E-07	2.37186E-09	0.10234	0.00013921	0	0	INF	0	0	0	0	0
WA,204,248	11.72438221	0.341676272	7.27349E-14	3.38E-16	5.24742E-08	1.44211E-10	1.38611E-06	5.20573E-09	2.12552E-07	2.26245E-09	0.10179	0.00020784	0	0	INF	0	0	0	0	0
WA,308,4001	10.00940212	0.413195171	1.34804E-13	9.47E-16	1.13353E-07	6.08126E-10	1.18924E-06	5.39139E-09	2.12468E-07	1.77308E-09	0.10213	0.000073142	0.000434921	1.63412E-06	296.0589593	0.314444115	1.06046E-07	5.78215E-10	1.72401E-08	2.66326E-10
WA,308,4109	0	0	4.31559E-15	3.20E-17	2.80302E-09	1.47917E-11	1.53962E-06	8.0011E-09	9.38132E-09	7.77127E-11	0.10198	0.000068163	1.81661E-05	6.57199E-08	296.0501797	0.232504876	4.28543E-09	2.35059E-11	6.59139E-10	1.05128E-11
WA,308,4009	6.849884512	0.546968314	1.79109E-13	1.19813E-15	7.01443E-08	3.99258E-10	2.55343E-06	8.9734E-09	2.46501E-07	2.10887E-09	0.1021	0.000078402	0.000433408	1.82088E-06	295.9711861	0.294646204	1.00394E-07	5.99308E-10	1.53716E-08	2.31617E-10
WA,314,4010	5.246691326	0.604273357	2.44854E-13	1.28856E-15	7.84111E-08	3.25603E-10	3.12269E-06	1.00951E-08	2.64138E-07	1.44107E-09	0.10209	0.000049903	0.000459731	1.59912E-06	296.1116482	0.203116746	1.08118E-07	5.86088E-10	1.7985E-08	1.88613E-10
WA,333,4012	0	0	2.16206E-13	2.42581E-15	8.77441E-08	9.59525E-10	2.46406E-06	6.18533E-09	2.93184E-07	5.79884E-09	0.10236	0.000026251	0.00051932	2.66703E-06	293.7504225	0.184556687	1.20588E-07	1.86E-09	1.82013E-08	2.90969E-10
WA,314,4112	0	0	9.71143E-14	6.16E-16	8.01769E-08	3.35455E-10	1.21125E-06	5.78131E-09	2.57801E-07	1.41238E-09	0.10202	0.000059344	0.000450996	1.58461E-06	295.2446724	0.34660448	1.04746E-07	5.9484E-10	1.54191E-08	1.52981E-10
WA,314,4013	9.383306393	0.341443572	5.39063E-14	4.17E-16	3.02507E-08	1.25078E-10	1.78199E-06	1.16427E-08	9.42872E-08	5.11206E-10	0.10217	0.00015803	0.000323603	1.10713E-06	296.8336141	0.297522036	8.5891E-08	4.63449E-10	1.66911E-08	1.67523E-10
WA,308,4015	0	0	9.00148E-14	8.08E-16	7.70928E-08	5.26649E-10	1.16762E-06	6.80243E-09	2.54737E-07	2.38294E-09	0.10214	0.000054852	0.000484524	2.96576E-06	295.6206132	1.030864182	1.16561E-07	8.27503E-10	1.858E-08	3.00391E-10
WA,333,55	9.301429245	0.484085596	8.51342E-14	1.00318E-15	6.47568E-08	6.97903E-10	1.31467E-06	6.26397E-09	2.36512E-07	4.65622E-09	0.1024	0.00008119	0.000440945	2.10319E-06	294.660806	0.333058901	1.02871E-07	1.57073E-09	1.5567E-08	2.74302E-10
WA,333,372	7.601824191	0.237622819	1.01867E-13	1.1922E-15	6.79034E-08	7.31235E-10	1.50017E-06	6.87572E-09	2.27374E-07	4.47647E-09	0.1024	0.000068492	0.000437572	2.08716E-06	294.3046522	0.105363512	1.03831E-07	1.58216E-09	1.60735E-08	2.71187E-10
WA,333,264	9.283629391	0.234742177	8.79158E-14	1.05587E-15	6.57071E-08	7.0752E-10	1.33799E-06	7.11715E-09	2.57757E-07	5.07445E-09	0.10244	0.000044879	0.000498551	2.37772E-06	294.2526044	0.14889128	1.15458E-07	1.77158E-09	1.77019E-08	2.84822E-10
WA,333,236	8.634837664	0.249701728	1.21575E-13	1.40988E-15	1.21829E-07	1.31161E-09	9.97921E-07	4.30108E-09	2.46737E-07	4.85752E-09	0.10229	0.000037113	0.00045141	2.15161E-06	294.1919051	0.293611046	1.05885E-07	1.61309E-09	1.91813E-08	3.0274E-10
WA,333,130	10.87599564	0.537579506	7.74841E-14	9.00E-16	6.25E-08	6.73177E-10	1.23975E-06	5.3707E-09	2.32395E-07	4.57834E-09	0.103	0.0000488	0.000443241	2.11892E-06	293.6208267	0.203807397	1.0492E-07	1.61217E-09	1.54572E-08	2.47008E-10
WA,333,202	0	0	6.85193E-15	6.75E-17	5.96685E-09	5.18354E-11	1.14833E-06	5.33333E-09	0	0	0	0	0	0	INF	0	0	0	0	0
WA,333,266	8.711193167	0.206857784	2.51839E-13	2.7908E-15	9.09721E-08	9.79626E-10	2.76831E-06	7.24252E-09	2.69128E-07	5.29844E-09	0.10233	0.000054779	0.00047097	2.24667E-06	293.8109397	0.298393899	1.08626E-07	1.66971E-09	1.65994E-08	2.64872E-10
WA,333,29	10.2487265	0.258279834	7.49894E-14	9.12E-16	5.613E-08	6.04642E-10	1.336E-06	7.54301E-09	2.29084E-07	4.51017E-09	0.10241	0.000054564	0.000434566	2.07271E-06	293.8801327	0.31432284	1.01396E-07	1.55615E-09	1.59422E-08	2.59449E-10
WA,333,448	17.74397331	0.399733133	9.30458E-14	1.08967E-15	8.00011E-08	8.6074E-10	1.16306E-06	5.37922E-09	2.51595E-07	4.95209E-09	0.10245	0.00003634	0.000476773	2.26414E-06	293.5172324	0.451641314	1.11497E-07	1.70719E-09	1.69625E-08	2.67951E-10
WA,333,50	14.03433673	0.537882446	8.04211E-14	1.02804E-15	6.10871E-08	6.57829E-10	1.3165E-06	9.06818E-09	2.15379E-07	4.24022E-09	0.10234	0.000074492	0.000419242	2.00176E-06	294.0619196	0.183111991	9.67439E-08	1.48117E-09	1.46272E-08	2.37225E-10
WA,333,144	20.4924653	0.450369039	7.72188E-14	1.27645E-15	5.21528E-08	7.97861E-10	1.48062E-06	9.27086E-09	1.97864E-07	4.4489E-09	0.10235	0.000057604	0.000364129	4.31947E-06	293.8628314	0.363193768	8.3107E-08	1.55729E-09	1.23735E-08	2.42274E-10
WA,389,35	-1.10E-49	-2.22E-51	2.57276E-13	1.61853E-15	7.45714E-08	3.48642E-10	3.45006E-06	1.45227E-08	2.6947E-07	3.64407E-09	0.10215	0.000029765	0.000472729	2.53565E-06	293.163836	0.111685151	1.10862E-07	6.12199E-10	1.76653E-08	2.55957E-10
